sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
233,0.591796875,0.73046875,0.138671875,102,196,98,0,0,0,0,0,0.000896306504728379,0,1
234,0.54296875,0.822265625,0.279296875,148,256,128,0,0,0,0,0,0.000896306504728379,0,0
235,0.849609375,0.9921875,0.142578125,95,256,128,0,0,0,0,0,0.000896306504728379,0,0
236,0.552734375,0.841796875,0.2890625,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
237,0.712890625,0.859375,0.146484375,85,228,114,0,0,0,0,0,0.000896306504728379,0,1
238,0.5625,0.814453125,0.251953125,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
239,0.541015625,0.822265625,0.28125,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
240,0.703125,0.923828125,0.220703125,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
241,0.78125,0.904296875,0.123046875,79,182,91,0,0,0,0,0,0.000896306504728379,0,1
242,0.60546875,0.83203125,0.2265625,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
243,0.65234375,0.806640625,0.154296875,121,238,119,0,0,0,0,0,0.000896306504728379,0,1
244,0.634765625,0.83203125,0.197265625,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
245,0.62890625,0.896484375,0.267578125,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
246,0.64453125,0.919921875,0.275390625,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
247,0.884765625,0.9921875,0.107421875,73,254,128,0,0,0,0,0,0.000896306504728379,0,1
248,0.826171875,0.9921875,0.166015625,78,216,109,0,0,0,0,0,0.000896306504728379,0,1
249,0.70703125,0.896484375,0.189453125,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
250,0.734375,0.953125,0.21875,112,256,128,0,0,0,0,0,0.000896306504728379,0,0
251,0.521484375,0.806640625,0.28515625,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
252,0.60546875,0.849609375,0.244140625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
253,0.607421875,0.853515625,0.24609375,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
254,0.6484375,0.892578125,0.244140625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
255,0.494140625,0.759765625,0.265625,162,256,128,0,0,0,0,0,0.000896306504728379,0,0
